problem,method,c1,c2,alpha,tau,iterations,converged,f_final,grad_norm,func_evals,time,timeout
P7_Extended_Rosenbrock_n2,L_BFGS_armijo,0.1,,2.0,0.3,57,True,5.698460220917167e-15,1.3205032657401175e-06,108,0.002050638198852539,False
P7_Extended_Rosenbrock_n2,L_BFGS_armijo,0.1,,2.0,0.4,45,True,1.776385244497437e-15,7.120943659598352e-07,95,0.0018324851989746094,False
P7_Extended_Rosenbrock_n2,L_BFGS_armijo,0.1,,2.0,0.5,31,True,1.743283360962112e-17,6.444988648763358e-08,71,0.001222372055053711,False
P7_Extended_Rosenbrock_n2,L_BFGS_armijo,0.1,,2.0,0.6,49,True,1.0220779210620114e-14,1.784497192473932e-06,106,0.0018050670623779297,False
P7_Extended_Rosenbrock_n2,L_BFGS_armijo,0.1,,2.0,0.7,146,True,1.4970618767406862e-15,8.678351375507527e-07,218,0.0048675537109375,False
P7_Extended_Rosenbrock_n2,L_BFGS_armijo,0.1,,2.0,0.8,68,True,4.393871666406331e-14,2.171226461721309e-06,199,0.0033173561096191406,False
P7_Extended_Rosenbrock_n2,L_BFGS_armijo,0.1,,2.0,0.9,89,True,2.237024708753954e-15,1.674851950421366e-06,362,0.005292177200317383,False
P7_Extended_Rosenbrock_n2,Newton_CG_armijo,0.5,,2.0,0.1,138,True,6.344827038534947e-19,8.118725021542268e-09,275,0.008907794952392578,False
P7_Extended_Rosenbrock_n2,Newton_CG_armijo,0.5,,2.0,0.2,71,True,3.743231341639553e-19,9.099624496811902e-09,142,0.004492282867431641,False
P7_Extended_Rosenbrock_n2,Newton_CG_armijo,0.5,,2.0,0.3,46,True,1.2486946853632311e-19,6.490530946109451e-09,92,0.0028808116912841797,False
P7_Extended_Rosenbrock_n2,Newton_CG_armijo,0.5,,2.0,0.4,31,True,3.6784133818581224e-20,4.09639810187185e-09,62,0.0019927024841308594,False
P7_Extended_Rosenbrock_n2,Newton_CG_armijo,0.5,,2.0,0.5,20,True,1.140775562526568e-23,6.957379426675314e-11,43,0.001234292984008789,False
P7_Extended_Rosenbrock_n2,Newton_CG_armijo,0.5,,2.0,0.6,31,True,1.2042421167005968e-19,9.328526655759896e-09,85,0.002371072769165039,False
P7_Extended_Rosenbrock_n2,Newton_CG_armijo,0.5,,2.0,0.7,21,True,1.7983537400153385e-21,1.1441019974798195e-09,65,0.0016851425170898438,False
P7_Extended_Rosenbrock_n2,Newton_CG_armijo,0.5,,2.0,0.8,30,True,3.88565031584368e-20,2.2498468683394775e-09,133,0.0025894641876220703,False
P7_Extended_Rosenbrock_n2,Newton_CG_armijo,0.5,,2.0,0.9,21,True,9.164974098912416e-21,2.952530895227586e-09,183,0.0024542808532714844,False
P8_Extended_Rosenbrock_n100,SD_armijo,0.3,,0.5,0.1,43,True,3.9866238543009453,2.2979846635411357e-06,54,0.06674623489379883,False
P8_Extended_Rosenbrock_n100,SD_armijo,0.3,,0.5,0.2,46,True,3.9866238543009467,2.322329006928432e-06,62,0.07273387908935547,False
P8_Extended_Rosenbrock_n100,SD_armijo,0.3,,0.5,0.3,39,True,3.986623854300946,2.23762125851716e-06,55,0.07000732421875,False
P8_Extended_Rosenbrock_n100,SD_armijo,0.3,,0.5,0.4,42,True,3.9866238543009413,1.6901693169938693e-06,63,0.06679892539978027,False
P8_Extended_Rosenbrock_n100,SD_armijo,0.3,,0.5,0.5,36,True,3.9866238543009347,1.6843150255072672e-06,56,0.05673074722290039,False
P8_Extended_Rosenbrock_n100,SD_armijo,0.3,,0.5,0.6,52,True,3.986623854300942,1.769481425621078e-06,81,0.08252167701721191,False
P8_Extended_Rosenbrock_n100,SD_armijo,0.3,,0.5,0.7,45,True,3.9866238543009396,1.5954137328175726e-06,84,0.07805395126342773,False
P8_Extended_Rosenbrock_n100,SD_armijo,0.3,,0.5,0.8,44,True,3.9866238543009413,1.8952016621865511e-06,106,0.08786582946777344,False
P8_Extended_Rosenbrock_n100,SD_armijo,0.3,,0.5,0.9,44,True,3.9866238543009427,2.0048541675625217e-06,172,0.11896920204162598,False
P8_Extended_Rosenbrock_n100,Newton_armijo,0.0001,,1.0,0.1,4,True,3.9866238543009347,6.467101064137051e-07,4,0.005316019058227539,False
P8_Extended_Rosenbrock_n100,Newton_armijo,0.0001,,1.0,0.2,4,True,3.9866238543009347,6.467101064137051e-07,4,0.009312868118286133,False
