problem,method,c1,c2,alpha,iterations,converged,f_final,grad_norm,func_evals,time,linesearch
P7_Extended_Rosenbrock_n2,SD_armijo,0.005,,1.5,2000,False,0.012921915381689394,0.09327885459887326,2713,0.061298370361328125,Armijo
P7_Extended_Rosenbrock_n2,SD_armijo,0.005,,1.7,2000,False,0.0001934611142577286,0.012595762645775077,2711,0.06199240684509277,Armijo
P7_Extended_Rosenbrock_n2,SD_armijo,0.005,,1.9,2000,False,0.00021372076125527174,0.014976042850688561,2726,0.05857062339782715,Armijo
P7_Extended_Rosenbrock_n2,SD_armijo,0.005,,2.0,2000,False,0.0001998012822903782,0.015413563849100888,2729,0.059087514877319336,Armijo
P7_Extended_Rosenbrock_n2,SD_armijo,0.01,,0.1,2000,False,0.017170529901321382,0.10790613738417885,2756,0.06067538261413574,Armijo
P7_Extended_Rosenbrock_n2,SD_armijo,0.01,,0.3,2000,False,0.00019997481864336954,0.02781015708304159,2729,0.06303262710571289,Armijo
P7_Extended_Rosenbrock_n2,SD_armijo,0.01,,0.5,2000,False,0.0001998012822903782,0.015413563849100888,2727,0.06406211853027344,Armijo
P7_Extended_Rosenbrock_n2,SD_armijo,0.01,,0.7,2000,False,0.00018962902109257752,0.014073955805461235,2732,0.05689835548400879,Armijo
P7_Extended_Rosenbrock_n2,SD_armijo,0.01,,1.0,2000,False,0.0001998012822903782,0.015413563849100888,2728,0.06158900260925293,Armijo
P7_Extended_Rosenbrock_n2,SD_armijo,0.01,,1.3,2000,False,0.00020303141341259862,0.012956643070755995,2709,0.06067633628845215,Armijo
P7_Extended_Rosenbrock_n2,SD_armijo,0.01,,1.5,2000,False,0.011467606592524809,0.08825960364843351,2716,0.059542179107666016,Armijo
P7_Extended_Rosenbrock_n2,SD_armijo,0.01,,1.7,2000,False,0.00017688159752497545,0.012137801085973902,2721,0.05862903594970703,Armijo
P7_Extended_Rosenbrock_n2,SD_armijo,0.01,,1.9,2000,False,0.00021982165827389477,0.03315933181053173,2726,0.05715036392211914,Armijo
P7_Extended_Rosenbrock_n2,SD_armijo,0.01,,2.0,2000,False,0.0001998012822903782,0.015413563849100888,2729,0.055010080337524414,Armijo
P7_Extended_Rosenbrock_n2,SD_armijo,0.05,,0.1,2000,False,0.00020353768128424506,0.05049239737573762,2745,0.06586360931396484,Armijo
P7_Extended_Rosenbrock_n2,SD_armijo,0.05,,0.3,2000,False,0.0001769725667662871,0.012048495536969185,2762,0.05763864517211914,Armijo
P7_Extended_Rosenbrock_n2,SD_armijo,0.05,,0.5,2000,False,0.00022614793925224456,0.013619469039247389,2757,0.058901309967041016,Armijo
P7_Extended_Rosenbrock_n2,SD_armijo,0.05,,0.7,2000,False,0.0002326392095012813,0.015017147247574752,2752,0.06063199043273926,Armijo
